# Renewables.ninja Weather (Point API) - 4.705, -74.054 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Bogota, temperature in ºC
# {"units": {"time": "UTC", "local_time": "America/Bogota", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "4.7054104932175385", "lon": "-74.05407060334525", "date_from": "2018-01-01", "date_to": "2018-12-31", "dataset": "merra2", "var_t2m": true, "var_prectotland": false, "var_precsnoland": false, "var_snomas": false, "var_rhoa": false, "var_swgdn": false, "var_swtdn": false, "var_cldtot": false}}
time,local_time,temperature
2018-01-01 00:00,2017-12-31 19:00,15.259
2018-01-01 01:00,2017-12-31 20:00,15.008
2018-01-01 02:00,2017-12-31 21:00,14.762
2018-01-01 03:00,2017-12-31 22:00,14.465
2018-01-01 04:00,2017-12-31 23:00,14.267
2018-01-01 05:00,2018-01-01 00:00,14.193
2018-01-01 06:00,2018-01-01 01:00,14.091
2018-01-01 07:00,2018-01-01 02:00,13.969
2018-01-01 08:00,2018-01-01 03:00,13.951
2018-01-01 09:00,2018-01-01 04:00,13.932
2018-01-01 10:00,2018-01-01 05:00,13.842
2018-01-01 11:00,2018-01-01 06:00,13.999
2018-01-01 12:00,2018-01-01 07:00,14.945
2018-01-01 13:00,2018-01-01 08:00,15.915
2018-01-01 14:00,2018-01-01 09:00,17.055
2018-01-01 15:00,2018-01-01 10:00,18.202
2018-01-01 16:00,2018-01-01 11:00,19.080
2018-01-01 17:00,2018-01-01 12:00,19.562
2018-01-01 18:00,2018-01-01 13:00,19.588
2018-01-01 19:00,2018-01-01 14:00,19.075
2018-01-01 20:00,2018-01-01 15:00,18.373
2018-01-01 21:00,2018-01-01 16:00,17.550
2018-01-01 22:00,2018-01-01 17:00,16.520
2018-01-01 23:00,2018-01-01 18:00,15.882
2018-01-02 00:00,2018-01-01 19:00,15.625
2018-01-02 01:00,2018-01-01 20:00,15.296
2018-01-02 02:00,2018-01-01 21:00,15.023
2018-01-02 03:00,2018-01-01 22:00,14.813
2018-01-02 04:00,2018-01-01 23:00,14.608
2018-01-02 05:00,2018-01-02 00:00,14.486
2018-01-02 06:00,2018-01-02 01:00,14.376
2018-01-02 07:00,2018-01-02 02:00,14.244
2018-01-02 08:00,2018-01-02 03:00,14.058
2018-01-02 09:00,2018-01-02 04:00,13.892
2018-01-02 10:00,2018-01-02 05:00,13.794
2018-01-02 11:00,2018-01-02 06:00,14.160
2018-01-02 12:00,2018-01-02 07:00,15.569
2018-01-02 13:00,2018-01-02 08:00,16.857
2018-01-02 14:00,2018-01-02 09:00,17.641
2018-01-02 15:00,2018-01-02 10:00,18.525
2018-01-02 16:00,2018-01-02 11:00,19.185
2018-01-02 17:00,2018-01-02 12:00,19.310
2018-01-02 18:00,2018-01-02 13:00,18.918
2018-01-02 19:00,2018-01-02 14:00,18.347
2018-01-02 20:00,2018-01-02 15:00,17.762
2018-01-02 21:00,2018-01-02 16:00,17.070
2018-01-02 22:00,2018-01-02 17:00,16.364
2018-01-02 23:00,2018-01-02 18:00,15.819
2018-01-03 00:00,2018-01-02 19:00,15.549
2018-01-03 01:00,2018-01-02 20:00,15.127
2018-01-03 02:00,2018-01-02 21:00,14.764
2018-01-03 03:00,2018-01-02 22:00,14.521
2018-01-03 04:00,2018-01-02 23:00,14.315
2018-01-03 05:00,2018-01-03 00:00,14.152
2018-01-03 06:00,2018-01-03 01:00,14.043
2018-01-03 07:00,2018-01-03 02:00,13.870
2018-01-03 08:00,2018-01-03 03:00,13.644
2018-01-03 09:00,2018-01-03 04:00,13.401
2018-01-03 10:00,2018-01-03 05:00,13.155
2018-01-03 11:00,2018-01-03 06:00,13.513
2018-01-03 12:00,2018-01-03 07:00,15.391
2018-01-03 13:00,2018-01-03 08:00,17.089
2018-01-03 14:00,2018-01-03 09:00,18.659
2018-01-03 15:00,2018-01-03 10:00,19.901
2018-01-03 16:00,2018-01-03 11:00,20.466
2018-01-03 17:00,2018-01-03 12:00,20.514
2018-01-03 18:00,2018-01-03 13:00,20.414
2018-01-03 19:00,2018-01-03 14:00,19.848
2018-01-03 20:00,2018-01-03 15:00,19.103
2018-01-03 21:00,2018-01-03 16:00,18.169
2018-01-03 22:00,2018-01-03 17:00,17.052
2018-01-03 23:00,2018-01-03 18:00,16.303
2018-01-04 00:00,2018-01-03 19:00,16.058
2018-01-04 01:00,2018-01-03 20:00,15.767
2018-01-04 02:00,2018-01-03 21:00,15.495
2018-01-04 03:00,2018-01-03 22:00,15.229
2018-01-04 04:00,2018-01-03 23:00,15.010
2018-01-04 05:00,2018-01-04 00:00,14.797
2018-01-04 06:00,2018-01-04 01:00,14.587
2018-01-04 07:00,2018-01-04 02:00,14.423
2018-01-04 08:00,2018-01-04 03:00,14.338
2018-01-04 09:00,2018-01-04 04:00,14.276
2018-01-04 10:00,2018-01-04 05:00,14.211
2018-01-04 11:00,2018-01-04 06:00,14.525
2018-01-04 12:00,2018-01-04 07:00,15.787
2018-01-04 13:00,2018-01-04 08:00,17.077
2018-01-04 14:00,2018-01-04 09:00,18.352
2018-01-04 15:00,2018-01-04 10:00,19.630
2018-01-04 16:00,2018-01-04 11:00,20.724
2018-01-04 17:00,2018-01-04 12:00,21.303
2018-01-04 18:00,2018-01-04 13:00,21.228
2018-01-04 19:00,2018-01-04 14:00,20.746
2018-01-04 20:00,2018-01-04 15:00,19.978
2018-01-04 21:00,2018-01-04 16:00,18.914
2018-01-04 22:00,2018-01-04 17:00,17.418
2018-01-04 23:00,2018-01-04 18:00,16.384
2018-01-05 00:00,2018-01-04 19:00,15.999
2018-01-05 01:00,2018-01-04 20:00,15.724
2018-01-05 02:00,2018-01-04 21:00,15.479
2018-01-05 03:00,2018-01-04 22:00,15.293
2018-01-05 04:00,2018-01-04 23:00,15.056
2018-01-05 05:00,2018-01-05 00:00,14.813
2018-01-05 06:00,2018-01-05 01:00,14.498
2018-01-05 07:00,2018-01-05 02:00,14.191
2018-01-05 08:00,2018-01-05 03:00,14.021
