# Renewables.ninja Weather (Point API) - 4.705, -74.054 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Bogota, temperature in ºC
# {"units": {"time": "UTC", "local_time": "America/Bogota", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "4.7054104932175385", "lon": "-74.05407060334525", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": true, "var_prectotland": false, "var_precsnoland": false, "var_snomas": false, "var_rhoa": false, "var_swgdn": false, "var_swtdn": false, "var_cldtot": false}}
time,local_time,temperature
2019-01-01 00:00,2018-12-31 19:00,15.324
2019-01-01 01:00,2018-12-31 20:00,14.816
2019-01-01 02:00,2018-12-31 21:00,14.356
2019-01-01 03:00,2018-12-31 22:00,13.955
2019-01-01 04:00,2018-12-31 23:00,13.552
2019-01-01 05:00,2019-01-01 00:00,13.111
2019-01-01 06:00,2019-01-01 01:00,12.775
2019-01-01 07:00,2019-01-01 02:00,12.490
2019-01-01 08:00,2019-01-01 03:00,12.265
2019-01-01 09:00,2019-01-01 04:00,12.151
2019-01-01 10:00,2019-01-01 05:00,12.118
2019-01-01 11:00,2019-01-01 06:00,12.921
2019-01-01 12:00,2019-01-01 07:00,15.316
2019-01-01 13:00,2019-01-01 08:00,17.476
2019-01-01 14:00,2019-01-01 09:00,19.280
2019-01-01 15:00,2019-01-01 10:00,20.653
2019-01-01 16:00,2019-01-01 11:00,21.494
2019-01-01 17:00,2019-01-01 12:00,21.913
2019-01-01 18:00,2019-01-01 13:00,21.937
2019-01-01 19:00,2019-01-01 14:00,21.493
2019-01-01 20:00,2019-01-01 15:00,20.592
2019-01-01 21:00,2019-01-01 16:00,19.156
2019-01-01 22:00,2019-01-01 17:00,16.703
2019-01-01 23:00,2019-01-01 18:00,14.910
2019-01-02 00:00,2019-01-01 19:00,14.354
2019-01-02 01:00,2019-01-01 20:00,13.915
2019-01-02 02:00,2019-01-01 21:00,13.527
